period,subject,group,profit,totalprofit,participate,type,direction1,prediction1a,prediction1b,prediction1c,prediction1d,timeokplayer1chooseok,direction2,prediction2a,prediction2b,prediction2c,prediction2d,timeokplayer2chooseok,choice1,choice2,p1a,p1b,p1c,p1d,p2a,p2b,p2c,p2d,profit1,belprofit1,profit2,belprofit2,position,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,n1,n2,n3,n4,direction,predictionA,predictionB,predictionC,predictionD,period10,session,stableID,hi_payID,UCSC_ID
1,1,3,6.825,6.825,0,1,1,35,30,35,0,-43,0,0,0,0,0,0,1,2,.35,.3,.35,0,.1,.2,.6,.1,0,6.825,120,4.9,23,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,1,35,30,35,0,1,4,0,1,0
1,2,2,20,20,1,2,0,0,0,0,0,0,2,0,0,100,0,0,3,2,.3,0,0,.7,0,0,1,0,90,2.1,20,0,43,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,2,0,0,100,0,1,4,0,1,0
1,3,4,126.25,126.25,0,1,2,25,25,25,25,2,0,0,0,0,0,0,2,1,.25,.25,.25,.25,0,1,0,0,120,6.25,0,0,32,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,2,25,25,25,25,1,4,0,1,0
1,4,3,124.9,124.9,1,2,0,0,0,0,0,0,2,10,20,60,10,-24,1,2,.35,.3,.35,0,.1,.2,.6,.1,0,6.825,120,4.9,23,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,2,10,20,60,10,1,4,0,1,0
1,5,2,92.1,92.1,0,1,3,30,0,0,70,-9,0,0,0,0,0,0,3,2,.3,0,0,.7,0,0,1,0,90,2.1,20,0,43,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,3,30,0,0,70,1,4,0,1,0
1,6,1,92.4,92.4,1,2,0,0,0,0,0,0,1,0,0,40,60,-9,1,1,.7,0,0,.3,0,0,.4,.6,90,2.1,90,2.4,22,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,1,0,0,40,60,1,4,0,1,0
1,7,6,96.6,96.6,0,1,1,30,30,30,10,-16,0,0,0,0,0,0,1,1,.3,.3,.3,.1,.7,0,.3,0,90,6.6,90,2.1,22,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,1,30,30,30,10,1,4,0,1,0
1,8,5,20,20,0,1,2,0,0,100,0,4,0,0,0,0,0,0,2,3,0,0,1,0,.3,0,.7,0,20,0,90,9.1,34,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,2,0,0,100,0,1,4,0,1,0
1,9,4,0,0,1,2,0,0,0,0,0,0,1,0,100,0,0,-1,2,1,.25,.25,.25,.25,0,1,0,0,120,6.25,0,0,32,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,1,0,100,0,0,1,4,0,1,0
1,10,6,92.1,92.1,1,2,0,0,0,0,0,0,1,70,0,30,0,-15,1,1,.3,.3,.3,.1,.7,0,.3,0,90,6.6,90,2.1,22,1,3,1,2,2,1,1,2,2,1,3,1,0,6,4,2,1,70,0,30,0,1,4,0,1,0
